namespace,pdb,policy,selector,currentHealthy,desiredHealthy,allowed,totalPods,risk_flags,recommendation
sb-backendapi,authen-api-uat-live,minAvailable,"app=authen-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-backendapi,direct-collect-api-uat-r22,minAvailable,"app=direct-collect-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-backendapi,direct-collect-api-uat-r22-live,minAvailable,"app=direct-collect-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-backendapi-dev,digitalcard-api-dev-main,minAvailable,"app=digitalcard-api",2,1,1,2,ok,"ok"
sb-backendapi-r22,cust-info-redis-uat-r22-live,minAvailable,"app=cust-info-redis",2,1,1,2,ok,"ok"
sb-backendapi-r22,customer-authorization-api-uat-live,minAvailable,"app=customer-authorization-api",2,1,1,2,ok,"ok"
sb-backendapi-r22,loan-api-uat-r22-live,minAvailable,"app=loan-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-backendapi-r22,notification-routing-api-uat-r22-live,minAvailable,"app=notification-routing-api",2,1,1,2,ok,"ok"
sb-backendapi-r22,soft-otp-api-uat-r22-live,minAvailable,"app=soft-otp-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-bpmapi,los-core-api-uat-live,minAvailable,"app=los-core-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-bpmapi,los-notify-api-uat-live,minAvailable,"app=los-notify-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-bpmapi,los-seavalue-online-api-uat-live,minAvailable,"app=los-seavalue-online-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-bpmapi,pm-core-api-uat-live,minAvailable,"app=pm-core-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-bpmapi,seapayment-api-uat-live,minAvailable,"app=seapayment-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-bpmapi,ticketing-247-api-uat-live,minAvailable,"app=ticketing-247-api",3,1,2,3,ok,"ok"
sb-nhs-fe,debt-fee-fe-api-uat-live,minAvailable,"app=debt-fee-fe-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
sb-nhs-fe,doisoat-ds-card-napas-fe-api-uat-live,minAvailable,"app=doisoat-ds-card-napas-fe-api",1,1,0,1,allowed0|tight_min,"Single-replica workload: avoid PDB, or commit to replicas >=2 and then use .spec.maxUnavailable=1; Set .spec.minAvailable <= replicas-1 and ensure HPA.minReplicas >= minAvailable+1; consider switching to .spec.maxUnavailable=1"
